Exposure uv,priority_4
5,9645.287159498208,6575.950591397849
6,9586.681944444446,5420.960564814814

B2c total burn,priority_4
month,Old priority,New priority
1,83570279.0,34265336.0
2,128945998.0,68506598.0
3,179066366.0,116658030.0
4,137698862.0,42401239.0
5,147325998.0,139890912.0
6,309798061.0,22994932.0

B2c per order,priority_4
month,Old priority,New priority
1,894.421565794403,715.172315912506
2,1460.73064854149,1578.383936594245
3,1715.885375342571,1835.169110244148
4,1483.887904651063,900.487162061716
5,1391.863785806062,1987.340881646801
6,2655.973500111452,468.872866668026

B2c gmv,priority_4
month,Old priority,New priority
1,0.02080249,0.01674305
2,0.03400308,0.03511262
3,0.03867186,0.0406377
4,0.03339673,0.02042406
5,0.03154818,0.04364181
6,0.05761523,0.01077882

R burn per order,priority_4
month,Old priority,New priority
1,7198.887140793065,7474.146226415094
2,7087.21986972529,7720.101214201783
3,8140.786283754,8470.593285930026
4,8666.279678003362,8621.729585660585
5,8632.163895397172,9906.036865508377
6,9474.518758251745,8905.346960830291

Imperfect order rate,priority_4
month,Old priority,New priority
1,0.0294429282388826,0.0288654199365503
2,0.0271424525630133,0.0283851346681105
3,0.0297054370532206,0.0297162094135414
4,0.0280292253976464,0.0296260114256588
5,0.0275678331191897,0.0304584392891136
6,0.0272028943262289,0.0299329160124788

Daily orders,priority_4
month,Old priority,New priority
1,3014.032258064516,1916.48
