B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
5,5564.516129032258%,5564.516129032258%,,5,128645.1612903226%,122867.74193548388%,,5,2390.322580645161%,47116.129032258075%,,5,66670.96774193548%,25787.09677419355%,,5,19367.74193548387%,15254.83870967742%
6,6580.0%,6580.0%,,6,131936.66666666666%,118593.33333333334%,,6,2463.3333333333335%,53873.333333333336%,,6,63896.66666666667%,23746.666666666668%,,6,20773.33333333333%,14566.666666666666%
,,,
Eff online rs,Old_1_vs_New_Rs,,,Eff online rs,Old_2_vs_New_1,,,Eff online rs,Old_3_vs_New_2,,,Eff online rs,priority_4,,,Eff online rs,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,3222.5806451612902%,3222.5806451612902%,,1,8812.90322580645%,954.5454545454543%,,1,2803.2258064516127%,8267.741935483871%,,1,27196.774193548383%,14560.0%,,1,54938.709677419356%,44444.0%
2,3758.620689655172%,3758.620689655172%,,2,9051.724137931036%,364.2857142857143%,,2,3017.2413793103447%,9337.93103448276%,,2,28027.58620689655%,15324.137931034486%,,2,56555.1724137931%,56900.0%
3,4364.516129032258%,4364.516129032258%,,3,8506.451612903225%,8209.677419354839%,,3,2603.2258064516127%,13783.870967741936%,,3,26487.09677419355%,14706.451612903225%,,3,52796.774193548394%,51338.709677419356%
4,4153.333333333333%,4153.333333333333%,,4,9410.0%,7356.666666666666%,,4,2233.333333333333%,16676.666666666668%,,4,27480.0%,16063.333333333332%,,4,54396.66666666667%,52526.666666666664%
5,3548.3870967741937%,3548.3870967741937%,,5,9048.387096774193%,8416.129032258064%,,5,2606.451612903226%,15945.16129032258%,,5,26793.548387096773%,15383.870967741936%,,5,56393.548387096766%,42000.0%
