Country,Priority,Month,ChangeTo,# Rs
PE,Priority 1,june,Priority 5,5
PE,Priority 1,july,Stays,35
PE,Priority 1,july,Priority 4,6
PE,Priority 1,july,Priority 2,8
PE,Priority 1,july,Priority 6,1
PE,Priority 1,august,Stays,49
PE,Priority 1,august,Priority 2,2
PE,Priority 1,august,Priority 4,2
PE,Priority 1,august,Priority 6,1
PE,No Registered,april,Priority 5,148
PE,No Registered,april,Stays,30
PE,No Registered,may,Stays,159
PE,No Registered,june,Stays,159
PE,No Registered,july,Stays,153
PE,No Registered,august,Stays,148
PE,No Registered,august,Priority 2,2
PE,No Registered,august,Priority 1,1
PE,Priority 3,april,Stays,45
PE,Priority 3,april,Priority 5,11
PE,Priority 3,april,Priority 2,5
PE,Priority 3,may,Priority 2,3
PE,Priority 3,may,Stays,37
PE,Priority 3,may,Priority 4,2
PE,Priority 3,may,Priority 5,1
PE,Priority 3,june,Stays,39
PE,Priority 3,june,Priority 2,5
PE,Priority 3,june,Priority 5,6
PE,Priority 3,july,Stays,30
PE,Priority 3,july,Priority 2,4
PE,Priority 3,july,Priority 6,9
PE,Priority 3,july,Priority 5,1
PE,Priority 3,july,Priority 4,3
PE,Priority 3,august,Stays,46
PE,Priority 4,may,Priority 2,15
PE,Priority 4,may,Priority 1,1
PE,Priority 4,may,Stays,20
PE,Priority 4,may,No Registered,2
PE,Priority 4,may,Priority 5,9
PE,Priority 4,june,Stays,13
PE,Priority 4,june,Priority 2,13
PE,Priority 4,june,Priority 1,1
PE,Priority 4,june,Priority 5,18
PE,Priority 4,july,Stays,10
PE,Priority 4,july,Priority 6,7
PE,Priority 4,july,Priority 2,4
PE,Priority 4,july,No Registered,4
PE,Priority 4,july,Priority 3,1
PE,Priority 4,july,Priority 1,1
PE,Priority 4,august,Stays,18
PE,Priority 4,august,Priority 6,9
PE,Priority 4,august,No Registered,1
PE,Priority 4,august,Priority 2,1
PE,Priority 4,april,Priority 2,8
PE,Priority 4,april,Stays,21
PE,Priority 4,april,Priority 3,7
PE,Priority 4,april,Priority 5,53
PE,Priority 4,april,No Registered,3
PE,Priority 6,june,Priority 5,14
PE,Priority 6,june,Priority 2,8
PE,Priority 6,june,Priority 4,4
PE,Priority 6,july,Priority 4,2
PE,Priority 6,july,Priority 5,9
PE,Priority 6,july,Priority 3,1
PE,Priority 6,july,Priority 2,1
No Registered,No Registered,april,Stays,1
No Registered,No Registered,may,Stays,1
No Registered,No Registered,june,Stays,1
No Registered,No Registered,july,Stays,1
No Registered,No Registered,august,Stays,1
