B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
6,332.35507670687434%,332.35507670687434%,,6,1295.7168338255506%,1602.0359927426077%,,6,116.95680735752998%,498.36180602294047%,,6,293.59838770061896%,305.6249443039993%,,6,57.4432315504949%,79.94237578705969%
,,,
R burn,Old_1_vs_New_Rs,,,R burn,Old_2_vs_New_1,,,R burn,Old_3_vs_New_2,,,R burn,priority_4,,,R burn,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,153196619.0%,153196619.0%,,1,7443641142.0%,42039787.0%,,1,26623533.0%,7190919406.0%,,1,2392267570.0%,1351195542.0%,,1,277547672.0%,235044587.0%
2,142021770.0%,142021770.0%,,2,6707214743.0%,37691802.0%,,2,45011246.0%,6784086127.0%,,2,2170838708.0%,1454152175.0%,,2,319872379.0%,332837418.0%
3,224218924.00000003%,224218924.00000003%,,3,7752467595.999999%,6876338654.000001%,,3,101614974.0%,1406479837.0%,,3,2606302145.0%,2229631555.0%,,3,503778890.00000006%,321674409.0%
4,256797900.99999997%,256797900.99999997%,,4,8737563435.0%,7129428936.0%,,4,22324153.0%,1793918657.9999998%,,4,2175194891.0%,1952879654.0%,,4,287794878.0%,292598366.0%
5,332944838.0%,332944838.0%,,5,9465389068.0%,7519853545.999999%,,5,38272703.0%,2038254823.9999998%,,5,2505609952.0%,2296731070.0%,,5,324365520.0%,368513510.0%
6,374766293.0%,374766293.0%,,6,9382472911.0%,7424092536.0%,,6,47992315.0%,2305661504.0%,,6,2356700381.0%,1830156951.0000002%,,6,283836843.0%,293068845.0%
,,,
R burn gmv,Old_1_vs_New_Rs,,,R burn gmv,Old_2_vs_New_1,,,R burn gmv,Old_3_vs_New_2,,,R burn gmv,priority_4,,,R burn gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,8.7770262%,8.7770262%,,1,16.0084008%,15.8281217%,,1,9.6562197%,16.0409291%,,1,10.065929899999999%,10.6718714%,,1,6.1155501%,7.1808371%
2,8.811648499999999%,8.811648499999999%,,2,15.919819399999998%,17.8068798%,,2,10.8842121%,15.9744575%,,2,9.920966100000001%,9.6213303%,,2,7.090023199999999%,7.157255599999999%
3,10.1196111%,10.1196111%,,3,16.1450614%,17.2548395%,,3,13.376707099999999%,10.999962%,,3,10.549826099999999%,10.7059462%,,3,8.951284399999999%,7.199567399999999%
4,10.3811352%,10.3811352%,,4,16.8578215%,17.6698343%,,4,9.0635618%,12.6788195%,,4,10.484351499999999%,10.8395725%,,4,7.4902997%,8.1601302%
5,10.5159682%,10.5159682%,,5,16.8846591%,17.8732868%,,5,11.0739128%,12.9960116%,,5,11.008037%,11.648441700000001%,,5,7.262373599999999%,7.4470083%
6,10.817204499999999%,10.817204499999999%,,6,17.0587112%,18.277304%,,6,13.406578799999998%,13.581252099999999%,,6,11.0803369%,10.7894191%,,6,7.2512893%,6.7657893%
,,,
R burn per order,Old_1_vs_New_Rs,,,R burn per order,Old_2_vs_New_1,,,R burn per order,Old_3_vs_New_2,,,R burn per order,priority_4,,,R burn per order,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,2247.57000337436%,2247.57000337436%,,1,3872.77555288825%,4084.3084620615996%,,1,2169.45347131682%,3884.7597002580696%,,1,2459.97341839447%,2528.58145214262%,,1,1522.3440180784999%,1702.29648379504%
2,2198.27523759403%,2198.27523759403%,,2,3880.10009319578%,4799.05805958747%,,2,2504.38134980248%,3894.640589631%,,2,2458.5450221240203%,2467.11509227809%,,2,1801.61071372249%,1806.9251415573199%
3,2518.91751859258%,2518.91751859258%,,3,4008.23085231294%,4246.17896923463%,,3,3198.96030221942%,2656.58259606522%,,3,2661.03701536913%,2783.48006861226%,,3,2304.3691993834%,1864.206411943%
4,2571.8110084025197%,2571.8110084025197%,,4,4159.0867996898405%,4350.62960178482%,,4,2150.89632912612%,3042.30360310553%,,4,2602.5054689593803%,2768.5851190366498%,,4,1915.84815401616%,2033.96706428651%
5,2630.31156580818%,2630.31156580818%,,5,4182.75250833312%,4432.87746863619%,,5,2760.78071124576%,3147.70402926783%,,5,2783.63681327288%,3034.0389411721203%,,5,1921.76745563883%,1820.80888383813%
6,2641.07775953319%,2641.07775953319%,,6,4234.7112877666705%,4544.8544954564295%,,6,3369.5369655269305%,3312.53215179544%,,6,2808.5613987627403%,2808.60025689583%,,6,1905.2649303574399%,1645.25259641835%
,,,
Ted,Old_1_vs_New_Rs,,,Ted,Old_2_vs_New_1,,,Ted,Old_3_vs_New_2,,,Ted,priority_4,,,Ted,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,464455270.0%,464455270.0%,,1,11334716292.0%,57350061.0%,,1,46979084.0%,10956078175.0%,,1,4188805125.0%,2363317275.0%,,1,657208247.0%,522405028.0%
2,436728158.0%,436728158.0%,,2,9447721459.0%,55185184.0%,,2,74944482.0%,9550796591.0%,,2,3631126909.0000005%,2471681971.0%,,2,646896460.0%,675137404.0%
3,575480014.0%,575480014.0%,,3,11334368702.0%,9926954371.0%,,3,146273814.0%,2321222801.0%,,3,4243414761.9999995%,3524428797.0%,,3,862406944.9999999%,596910621.0%
4,688328189.0%,688328189.0%,,4,13454136963.999998%,10983701427.0%,,4,45213033.0%,3064196709.0%,,4,3493646647.9999995%,2877356511.0%,,4,489808978.0%,460670848.00000006%
5,916996771.0000001%,916996771.0000001%,,5,13861276683.000002%,10982099158.0%,,5,62410473.0%,3144511374.0%,,5,3739850199.0%,3277037863.0%,,5,542806084.0%,602748537.0%
6,1002143253.9999999%,1002143253.9999999%,,6,13595348066.999998%,10656614577.0%,,6,71832541.0%,3559767813.0000005%,,6,3532854909.0000005%,2592369456.0%,,6,471009380.99999994%,502492684.99999994%
,,,
Ted gmv,Old_1_vs_New_Rs,,,Ted gmv,Old_2_vs_New_1,,,Ted gmv,Old_3_vs_New_2,,,Ted gmv,priority_4,,,Ted gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,26.609830600000002%,26.609830600000002%,,1,24.3766025%,21.5924916%,,1,17.039074300000003%,24.439944699999998%,,1,17.6252103%,18.665705499999998%,,1,14.481079699999999%,15.959973699999999%
2,27.0965151%,27.0965151%,,2,22.4245123%,26.071344099999997%,,2,18.1223963%,22.4892183%,,2,16.5946401%,16.353769%,,2,14.3385651%,14.517992%
3,25.972981400000002%,25.972981400000002%,,3,23.6046235%,24.9097686%,,3,19.255646000000002%,18.1540908%,,3,17.1765534%,16.9231303%,,3,15.323488199999998%,13.359776700000001%
4,27.825881499999998%,27.825881499999998%,,4,25.957744599999998%,27.222402600000002%,,4,18.356401599999998%,21.6567216%,,4,16.8392357%,15.9709352%,,4,12.7480242%,12.847420000000001%
5,28.963082800000002%,28.963082800000002%,,5,24.7261819%,26.1023977%,,5,18.0579913%,20.049556900000002%,,5,16.4304941%,16.6203109%,,5,12.1531431%,12.1804852%
6,28.9257298%,28.9257298%,,6,24.7183359%,26.2354198%,,6,20.066309%,20.9684309%,,6,16.6101822%,15.28293%,,6,12.0330584%,11.6005494%
,,,
