Active rs,Priority 5
month,Priority
5,2671093
6,3086027
7,3005503
8,2160906
9,2112965

Gmv,Priority 5
month,Priority
1,41745777.0
2,59901269.0
3,57761281.0
4,52069284.0
5,40218511.0
6,39770141.0
7,38226990.0
8,26951400.0
9,29677186.0

Healthy stores,Priority 5
month,Priority
1,335.52
2,450.7931034482759
3,401.64516129032256
4,410.26666666666665
5,324.80645161290323
6,325.8666666666667
7,302.5483870967742
8,246.4193548387097
9,264.6

Imperfect orders,Priority 5
month,Priority
1,179.0
2,210.0
3,192.0
4,190.0
5,139.0
6,112.0
7,114.0
8,81.0
9,106.0

Imperfect order rate,Priority 5
month,Priority
1,0.0365231585390736
2,0.0318567961165048
3,0.0306709265175718
4,0.0334212840809146
5,0.029393106364982
6,0.0256292906178489
7,0.0282387911815704
8,0.027616774633481
9,0.0327868852459016

Orders per eff online,Priority 5
month,Priority
1,0.4410944109441094
2,0.3994909399430337
3,0.393339616713792
4,0.3607691331387231
5,0.36321044546851
6,0.352589962885267
7,0.3364727454575762
8,0.3017800185204239
9,0.3160930778255768

P2c burn per order,Priority 5
month,Priority
1,485.21750663129967
2,458.0226031553398
3,443.5182108626199
4,468.4397537379068
5,467.51744554874176
6,580.9183066361556
7,506.0230369085954
8,447.6614387998636
9,512.0405196412

P2c gmv,Priority 5
month,Priority
1,0.0569650673887325
2,0.0504043578776269
3,0.0480672165148137
4,0.0511449322022557
5,0.0549719506025471
6,0.063832134766633
7,0.0534390753758012
8,0.048716986872667
9,0.0557811310007626

Pay order cnt,Priority 5
month,Priority
1,5590
2,7370
3,7093
4,6385
5,5337
6,5030
7,4585
8,3346
9,3686

Pay success user cnt app,Priority 5
month,Priority
1,5494
2,7259
3,6958
4,6272
5,5233
6,4919
7,4482
8,3285
9,3590

Realpay price,Priority 5
month,Priority
1,35141735.0
2,50850840.0
3,49631868.0
4,44300921.0
5,35020409.0
6,34311493.0
7,32649588.0
8,23384850.0
9,25629965.0

R burn,Priority 5
month,Priority
1,3805732.0
2,4310959.0
3,4246955.0
4,4823428.0
5,2948975.0
6,2823086.0
7,3534187.0
8,2248250.0
9,2390976.0

R burn gmv,Priority 5
month,Priority
1,0.0911644787447602
2,0.0719677407835884
3,0.0735259836082928
4,0.0926348055794275
5,0.073323823450351
6,0.0709850638950462
7,0.0924526623728418
8,0.0834186721283495
9,0.0805661291471502

R burn per order,Priority 5
month,Priority
1,776.5215262191389
2,653.9682949029126
3,678.4273162939297
4,848.4481970096746
5,623.593783040812
6,646.0151029748284
7,875.4488481545702
8,766.5359699965906
9,739.5533560160842

Shop enter uv,Priority 5
month,Priority
1,107966
2,128216
3,144262
4,123448
5,102727
6,113148
7,107048
8,77755
9,79254

Ted,Priority 5
month,Priority
1,6604042.0
2,9050429.0
3,8129413.0
4,7768363.0
5,5198102.0
6,5458648.0
7,5577402.0
8,3566550.0
9,4047221.0

Ted gmv,Priority 5
month,Priority
1,0.158196648250193
2,0.1510891029704228
3,0.1407415635397698
4,0.1491928139438214
5,0.1292465054213469
6,0.137254932035569
7,0.1459022015596833
8,0.1323326432022084
9,0.1363748234081223

Ted per order,Priority 5
month,Priority
1,1347.4886757804527
2,1372.941292475728
3,1298.6282747603832
4,1366.4666666666667
5,1099.1968703742864
6,1249.1185354691077
7,1381.5709685409956
8,1216.0075008523695
9,1251.8468914321063

Total p2c burn,Priority 5
month,Priority
1,2378051.0
2,3019285.0
3,2776424.0
4,2663080.0
5,2210890.0
6,2538613.0
7,2042815.0
8,1312991.0
9,1655427.0

Tri gmv,Priority 5
month,Priority
1,0.2340977148419108
2,0.2351346847092671
3,0.2351095710637026
4,0.2289349897724731
5,0.2325007258473591
6,0.2321760438314764
7,0.2284193707116359
8,0.2299310239913325
9,0.2300237967305929

Tri per order,Priority 5
month,Priority
1,1993.9993878800244
2,2136.6604975728155
3,2169.365814696486
4,2096.830430958664
5,1977.3383379149925
6,2112.9688787185355
7,2162.9390636611342
8,2112.841118308899
9,2111.4936591401174

