B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
Exposure uv,Old_1_vs_New_Rs,,,Exposure uv,Old_2_vs_New_1,,,Exposure uv,Old_3_vs_New_2,,,Exposure uv,priority_4,,,Exposure uv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,2326943,2326943,,1,21789812,627661,,1,974801,20758483,,1,15978353,8461719,,1,17527087,11726777
2,2490747,2490747,,2,19703578,391923,,2,1198551,19500456,,2,14919097,9495396,,2,14555462,14233332
3,4340451,4340451,,3,22197630,16397523,,3,2031308,11557759,,3,17518667,12723753,,3,18992956,17868238
4,3936675,3936675,,4,23625759,15872436,,4,836530,14502401,,4,16139311,9962186,,4,16007108,14462339
5,4141142,4141142,,5,28730714,19601502,,5,1150899,14774031,,5,17604566,12731451,,5,17203401,15638427
6,4061119,4061119,,6,31139619,21233022,,6,1248935,17626844,,6,17785724,9668158,,6,18572951,16438742
,,,
Healthy stores,Old_1_vs_New_Rs,,,Healthy stores,Old_2_vs_New_1,,,Healthy stores,Old_3_vs_New_2,,,Healthy stores,priority_4,,,Healthy stores,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,20145.16129032258%,20145.16129032258%,,1,52190.32258064516%,5103.225806451613%,,1,10335.483870967742%,50025.8064516129%,,1,101093.54838709676%,67452.0%,,1,144590.32258064518%,123052.0%
2,27468.965517241377%,27468.965517241377%,,2,50424.137931034486%,2931.0344827586205%,,2,12651.724137931036%,50034.48275862069%,,2,107751.72413793103%,66948.27586206897%,,2,167627.58620689655%,167717.24137931035%
3,34235.48387096774%,34235.48387096774%,,3,49229.032258064515%,30561.290322580648%,,3,13825.806451612902%,61993.548387096766%,,3,104158.06451612903%,67716.12903225806%,,3,159587.09677419355%,146935.4838709677%
4,31966.666666666668%,31966.666666666668%,,4,56943.33333333333%,31539.999999999996%,,4,8243.333333333334%,79263.33333333333%,,4,111373.33333333331%,68290.0%,,4,161393.33333333334%,141736.66666666666%
5,28658.06451612903%,28658.06451612903%,,5,57709.67741935484%,33416.12903225807%,,5,10632.258064516129%,75532.25806451614%,,5,107048.3870967742%,70570.96774193548%,,5,163745.1612903226%,143638.70967741936%
6,25806.666666666668%,25806.666666666668%,,6,67633.33333333334%,40413.333333333336%,,6,9963.333333333334%,85086.66666666667%,,6,105806.66666666666%,59050.0%,,6,155053.33333333334%,132393.33333333334%
,,,
Imperfect orders,Old_1_vs_New_Rs,,,Imperfect orders,Old_2_vs_New_1,,,Imperfect orders,Old_3_vs_New_2,,,Imperfect orders,priority_4,,,Imperfect orders,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,492,49200.0%,,1,7468,12900.0%,,1,146,709800.0%,,1,2751,138300.0%,,1,844,70400.0%
2,532,53200.0%,,2,5813,9100.0%,,2,206,576200.0%,,2,2396,123200.0%,,2,822,90500.0%
3,834,83400.0%,,3,6661,543900.0%,,3,462,266500.0%,,3,3100,188900.0%,,3,1065,101100.0%
4,687,68700.0%,,4,7173,526100.0%,,4,86,315200.0%,,4,2601,139500.0%,,4,808,69400.0%
5,747,74700.0%,,5,8278,604600.0%,,5,124,302000.0%,,5,2918,214400.0%,,5,836,77800.0%
6,989,98900.0%,,6,8976,643300.0%,,6,120,397300.0%,,6,3173,146800.0%,,6,812,66000.0%
,,,
Imperfect order rate,Old_1_vs_New_Rs,,,Imperfect order rate,Old_2_vs_New_1,,,Imperfect order rate,Old_3_vs_New_2,,,Imperfect order rate,priority_4,,,Imperfect order rate,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,4.06074612083195%,4.06074612083195%,,1,2.93680443588029%,3.22742056542406%,,1,2.2912743251726297%,2.90632446995815%,,1,2.94429282388826%,2.88654199365503%,,1,3.1109472908219598%,3.04907098618389%
2,3.9129155634010004%,3.9129155634010004%,,2,2.65936519264728%,3.68570271364925%,,2,2.33586574441546%,2.6499995400903202%,,2,2.71424525630133%,2.83851346681105%,,2,3.07542651900628%,2.96313273524982%
3,4.23113997260412%,4.23113997260412%,,3,2.72967191482735%,2.76864342071774%,,3,3.1967893717132503%,2.78978718058768%,,3,2.97054370532206%,2.97162094135414%,,3,3.1914893617021196%,3.3779945871896797%
4,3.44723769381303%,3.44723769381303%,,4,2.70311010284103%,2.70044143311774%,,4,2.5872442839951804%,2.7059510319013698%,,4,2.80292253976464%,2.9626011425658803%,,4,3.2449799196787104%,3.04787000439174%
5,2.92551108326153%,2.92551108326153%,,5,2.6263023642432%,2.61464477849469%,,5,2.94187425860023%,2.5669576451988503%,,5,2.75678331191897%,3.0458439289113604%,,5,3.01587301587301%,2.82467414588098%
6,4.05760236317387%,4.05760236317387%,,6,2.54957265685581%,2.56096881294935%,,6,2.7643400138217%,2.55393278650587%,,6,2.72028943262289%,2.99329160124788%,,6,2.88076063433497%,2.6979520091566798%
,,,
Orders per eff online,Old_1_vs_New_Rs,,,Orders per eff online,Old_2_vs_New_1,,,Orders per eff online,Old_3_vs_New_2,,,Orders per eff online,priority_4,,,Orders per eff online,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,150.88418430884184%,150.88418430884184%,,1,1467.33987305251%,219.49478308621636%,,1,163.51039260969975%,1469.293707135122%,,1,265.6138954430452%,251.86353361720023%,,1,48.448158862816534%,59.647627166808746%
2,137.08408953418026%,137.08408953418026%,,2,1413.6066739959904%,249.64610717896866%,,2,198.62612612612608%,1417.0620437956204%,,2,253.7804737810488%,201.0701380524414%,,2,44.72556894243641%,51.10519886886535%
3,151.0074312418601%,151.0074312418601%,,3,1508.3570280628012%,1954.9208876505127%,,3,275.3286340255287%,448.35727025251106%,,3,289.9397104992637%,270.01953954634274%,,3,54.832561043741165%,53.086310262868494%
4,170.34789298230618%,170.34789298230618%,,4,1472.2647581003107%,1956.8099638408999%,,4,104.26599749058971%,442.23234624145783%,,4,249.84787700923508%,203.7075492104694%,,4,42.0373778130434%,43.49902571352156%
5,231.8322135463955%,231.8322135463955%,,5,1675.237842147223%,2121.042010640249%,,5,100.64469914040114%,447.3856333422064%,,5,286.6722639005498%,290.6917200082594%,,5,44.61900009657792%,50.045424812849774%
6,253.73724755361243%,253.73724755361243%,,6,1641.6068264478224%,1952.2343980725889%,,6,114.38735177865611%,540.4154797470992%,,6,328.9582040724237%,247.27978621489441%,,6,49.10199459977354%,49.44217632078904%
,,,
