country_code,month_,priority,eff_online_rs,complete_orders,daily_orders,orders_per_eff_online,active_rs,b_cancel_rate,bad_rating_rate,daily_online_hours,healthy_stores,exposure_uv,shop_enter_uv,click_pay_user_cnt_app,pay_success_user_cnt_app,b_p1,b_p2,b_p1p2,r_burn,r_burn_gmv,r_burn_per_order,b2c_total_burn,b2c_gmv,b2c_per_order,tri_per_order,total_p2c_burn,p2c_gmv,p2c_burn_per_order,ted,ted_gmv,ted_per_order,imperfect_orders,imperfect_order_rate,pay_order_cnt,b_cancel_order_cnt,
CR,4,Priority 1,84.8,37656,1255.2,14.80188679,84.2,0.00835030025,0.02137773529,892.2278519,81.26666667,2199302,172579,40368,38172,0.07846989636,0.2339102672,0.01835491442,63037053,0.202986669,1674.02414,14814819,0.04770545,393.4251912,1567.909842,13231506,0.04260699,351.3784257,91083378,0.293299109,2418.827757,798,0.02119184194,38801,324,864.5055031
CR,4,Priority 3,139.2333333,1754,58.46666667,0.4199186019,39.66666667,0.068076328,0.02166476625,1202.770324,113.6666667,615928,29523,2119,1907,0.04793255056,0.07177454866,0.003440337182,1410338,0.084201953,804.0695553,365649,0.02183048,208.4657925,2196.086089,824115,0.04920246,469.8489168,2600102,0.155234891,1482.384265,52,0.02964652223,1939,132,147.4570266
CR,4,Priority 4,143.1,8222,274.0666667,1.915210808,109.8666667,0.02211928199,0.02444660667,1388.164287,126.6,1477726,84873,9279,8500,0.05743486952,0.1093280549,0.006279242566,8282409,0.118875063,1007.347239,1032934,0.01482541,125.6305035,1875.81659,3269276,0.04692299,397.6253953,12584619,0.18062346,1530.603138,189,0.02298710776,8635,191,344.2175635
CR,4,New Rs,41.53333333,1184,39.46666667,0.9502407705,17.7,0.05246671887,0.03209459459,333.8988333,33.43333333,240438,16535,1323,1254,0.06877032749,0.08001209555,0.005502458014,732372,0.073158759,618.5574324,1525902,0.15242677,1288.768581,1954.401182,527596,0.05270309,445.6047297,2785870,0.278288619,2352.930743,32,0.02702702703,1277,67,192.9678973
CR,4,Priority 2,150.7666667,13343,444.7666667,2.950033164,126.8333333,0.02883048806,0.021884134,1342.282963,136.7,1449117,98349,14844,13861,0.06786822596,0.1509318854,0.0102434793,18721788,0.167923407,1403.11684,2263724,0.02030427,169.6562992,1719.543806,4710809,0.04225318,353.0547103,25696321,0.230480858,1925.82785,324,0.02428239526,14117,407,320.388459
CR,5,Priority 4,153.6129032,7990,257.7419355,1.677866443,110.1612903,0.02596639643,0.02478097622,1490.77853,137.483871,1532263,91581,9206,8376,0.05976846011,0.1005230343,0.006008106963,8282065,0.123374393,1036.553817,877994,0.0130791,109.8866083,1839.545432,3585736,0.05341518,448.7779725,12745795,0.189868676,1595.218398,198,0.02478097622,8511,221,321.7687946
CR,5,Priority 5,416.7419355,4703,151.7096774,0.3640374642,103.7741935,0.07660377358,0.02423984691,3581.739319,322.483871,2656243,102085,5751,5196,0.03843210128,0.05633540677,0.002165088059,2884612,0.072460378,613.3557304,45176,0.0011348,9.605783542,1969.589624,2196753,0.05518162,467.0961089,5126541,0.128776799,1090.057623,137,0.02913034233,5300,406,205.6074774
CR,5,Priority 2,158.6129032,14536,468.9032258,2.956274151,130.9677419,0.02456666232,0.02380297193,1427.969901,145.5806452,1701404,114479,16210,15089,0.06728501873,0.1415980223,0.009527425585,20280238,0.167339665,1395.173225,2856457,0.02356967,196.5091497,1712.807788,5816388,0.04799315,400.1367639,28953083,0.238902482,1991.819139,346,0.02380297193,15346,377,346.0248119
CR,5,New Rs,35.48387097,1725,55.64516129,1.568181818,19.03225806,0.04965296316,0.02376811594,275.1104659,29.58064516,273797,19402,1930,1832,0.07086271946,0.099474281,0.007049018068,1066337,0.073459794,618.1663768,2187115,0.15067002,1267.892754,1975.61971,870766,0.05998694,504.7918841,4124218,0.28411675,2390.851014,49,0.0284057971,1873,93,248.9063636
CR,5,,0,0,0,null,0,null,null,0,0,96155,827,0,0,0.008600696792,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,null
CR,5,Priority 1,84.48387097,38124,1229.806452,14.55670103,83.29032258,0.007228182302,0.02213828559,890.4013082,80.87096774,2446478,189105,41086,38815,0.07729683243,0.2172655403,0.01679393806,65236819,0.205720195,1711.174562,16093194,0.05074887,422.1276361,1568.518492,15012687,0.04734156,393.7857255,96342700,0.303810629,2527.087924,773,0.02027594166,39429,285,934.1267659
CR,5,Priority 3,134.9677419,1940,62.58064516,0.4636711281,38.87096774,0.06138706654,0.02268041237,1177.870206,110.4193548,600383,31541,2323,2093,0.05253479862,0.07365016962,0.003869196829,1805990,0.096659621,930.9226804,527099,0.02821122,271.7005155,2163.757216,985942,0.05276927,508.2175258,3319031,0.177640119,1710.840722,39,0.02010309278,2134,131,143.4949809
